"","text"
"1","  informasi belajar  uatan cv wawancara samdengan   arian rjaan  asik resiv suka interaksi semua orang   informasi dida"
"2","membantu  form materi informasinya    video elajaran interaksi  jika   interview rjaan ama  berbeda  tidak  masalah ketika   anyaan mengenai karir cv  cukumbantu"
"3","seru awalaw materi enalan  share materi cv seru obrolannya  ding   seru  bahasan revisirevisi  cv samimulasi interview  kasih fasilita  waktu   ng    kurang kasih info  jadwalnya nentu jadi ya nunggu   ngasi link  tasik  dikela"
"4","jujur baru sekali emuan taumayan seru dijelaskan  hal kaku   tao far mentornya aman"
"5"," embangan ue cv aang dibutuhin but ue kerjaan bobot laian  cara interview  simulasi  cv bener gimana  folio nambah bobot mentornya lumayan tewaktu asik resiv"
"6"," merasa butuh  cv sama interview  eksasi simulasi interview cukulutif   kekurangankekurangan mentornya kak  baik dalam mengajar   sesuatu konfirmasi dulu ramah  ngasi elasan rinci"
"7","sangat membantu karena    kesalahan cvinterview mentornya interaktif tamang suka dadakan"
"8","  elajaran ime cv folio cara interview yg baik mentornya menjawab  anyaan sangat ramah"
"9","sei  umumnya  share taanyak dailmu baru   mentornya baik ngajarnya ternci"
"10"," ilmu dida jadi  cv folio interview baik  amentornya bagus benerben ngajarin awal"
