Nama;channel marketing;awareness, consideration, registration, trial, purchase, loyalty;pain point;reviewText;Materi Favorit;Materi Paling Jelek;Jam belajar;Perbandingan dengan Kelas lain;Apa yang perlu diimporve;Seberapa recommended
1;Instagram;Setelah mendapat informasi dari ig, menghubungi admin dan melihat-lihat website eduwork akhirnya memutuskan daftar;Ingin mencari mentor untuk persiapan karir mengenai persiapan kerja, CV, dan interview;Memberi banyak informasi. belajar mulai dari pembuatan cv, wawancara, sampai dengan seluruh rangkaian pencarian pekerjaan. Mentor asik, responsive, suka interaksi ke semua orang di kelas, banyak informasi yang didapet. ;Sesi simulasi wawancara dari mentornya jadi diwajibkan untuk mempersiapkan wawancara sebaik mungkin, kan jadi tau kekurangan kita apa;fungsi paling sedikit mengenai cara mencari job (web jobseeker);Jam 3 sore;Belum pernah ini pertamakali. Belum tau kalo platform lain ada menyediakan kelas ini. Terlebih lagi murah kalo disini;Perlu materi cover letter, belum dibahas sama mentornya padahal ada materi harusnya;Iya rencananya mau merekomendasikan, karena terjangkau, yg saya alami di eduwork sejauh ini cukup bagus. 7.5/10
2;Whatsapp;Saya melihat benefitnya memperbaiki CV, lebih tau cara branding di linkedin, jadi saya berinisiatif mendaftarkan diri;Pekerjaan saya sebelumnya tidak sesuai dengan minat saat ini jadi saya ingin memperbaiki CV dan berdiskusi dengan mentor;membantu dari mentor, platform yang materi, informasinya sudah oke, dari segi video pembelajaran, interaksi di kelas. Jika dibandingkan dengan interview pada pekerjaan pertama jauh berbeda Sejauh ini tidak ada masalah. Ketika diberi berbagai pertanyaan mengenai karir dan cv sudah cukup membantu;Belum menyelesaikan semuanya, tapi sampai saat ini pembuatan cv, jadi lebih tau platform mana yang bisa jadi referensi pembuatan cv.;Tidak ada karena berimpact semua;Fleksibel, tapi seringnya siang. Sebelum jam 12 atau jam 2;Belum pernah. Pilih eduwork karna harga, apalagi masih satu platform di eduwork (Ikut course QA);materi yang diupload canva jadi tidak bisa di download;Mungkin saya bisa merekomendasikan ke teman-teman, 8/10
3;Whatsapp;Melihat benefit yang ada dengan harga yang ditawarkan jadi langsung mendaftarkan diri;karena ada diskon dan mas bayu udah berpengalaman sebelum dari eduwork, jadi dia lebih tau gimana contoh cv atau portfolio yang baik di berbagai perusahaan jadi menunjang persiapan karir saya;Seru, pas awal-awal materi Cuma perkenalan aja . Cuma sharing materi cv, seru juga obrolannya. Selanjutnya dipegang mas bayu seru banyak bahasan, revisi-revisi mulai dari CV sampe simulasi interview. Mentor kasih fasilitas sesuai waktu yang udah ada, paling kalo mas bayu kurang kasih info mentoring yang jadwalnya ga nentu. Jadi ya nunggu mas bayu ngasi link aja, tapi asik kalo dikelas;Paling cv sama portfolio sama interview. Karna saya belum pernah nyoba interview jadi hal baru buat saya jadi dikasi tau info jawabannya harus gimana sesuai sama cv yang kita buat.;Belum nangkep yang job portal;Kalo aku dari sore sampe malem, jadi mentornya pas waktunya;Pernah ikut mentoring biasa, bukan dibawah platform gitu. Ikut eduwork karena gatau, revou gabisa beli sendiri harus berkelompok gitu;Pertama mungkin yang paling bingung adalah kan awalnya udah terdaftar, pas masuk live class masih ketutup semua gabisa kebuka, harus kontak eduworknya dan minta bantuan. Kedua kalo karir preparation itu kan tiap hari dan waktunya gada jadwalnya tergantung mentor bisanya jam berapa dan kadang Cuma punya waktu 30menitan, harus ada jadwalnya. Agar seluruh pertanyaan dari mentee terjawab semua.;Untuk rekomendasi pasti, karena aku jarang liat yg ga perlu bootcamp kaya eduwork. Dapet waktu mentoring setahun dengan harga yg affordable. 8/10
4;Instagram;Kemarin daftar, terus di chat admin dan masuk grup, diberi link konsultasi sama admin;Karna tadi ketolak abis wawancara, jadi ingin benar-benar memperbaiki itu;Jujur saya baru sekali pertemuan, tapi lumayan seru dijelaskan banyak hal, ga kaku juga. Belum tau, tapi so far mentornya aman;Kan belum tau ya, tapi dari benefitnya si interview ya;Belum ikut semua materi jadi belum tau;Siangan, senin-selasa pagi-siang bisa, rabu-jumat;Belum, tapi disini lebih personal soalnya ga banyak orang setiap mentor;Belum tau banyak kekurangannya;8/10 karena benefitnya bagus
5;Instagram;Prosesnya cepet langsung masuk grup aja;Selalu tidak lolos setiap melamar kerja;Ada perkembangan pas update cv, apa yang dibutuhin but update kerjaan, bobot penilaian hr, cara interview dengan simulasi, tau cv yang bener gimana, tau portfolio, nambah bobot. Mentornya lumayan tepat waktu, asik dan responsive.;Materi cv yang dikoreksi bgt aku suka si, aku kan awalnya desain sama kata kata aja ternyata itu ga bagus dan aku jadi tau cv ats itu kaya apaa apalagi belajar interview;Bagus semua. Tapi paling tertarik cv sama interview aja;Sebenernya jam 3 itu biasanya free, tapi dipertemuan akhir2 suka ga hadir karna ada kegiatan lain;Belum pernah, karna gatau. Milih ikut disini karena murah;Konsep materi yang harus dibuka satu-satu, baiknya dibuka semua aja diawal;Iya sii kalo ada yang butuh, ada temanku juga yang bingung, antara 7/10 atau 8/10
6;Instagram;Mengisi link registrasi, masuk grup wa, akhirnya di awal zoom sama mentor dan rekan lain;Waktu itu awalnya ikut interview dan gagal, masukannya karna kurang menampilkan kelebihan, kurang menjual diri, dan saya penasaran butuh mentor;Karna merasa butuh di kelas cv sama interview, sesuai ekspektasi. simulasi interview yang cukup solutif dan diberi tau kekurangan-kekurangan. Mentornya kak bayu, baik dalam mengajar kalo ada sesuatu konfirmasi dulu, ramah, kalo ngasi penjelasan rinci;Simulasi interview karena berdasarkan kebutuhan saya;Job portal kan kalo cv nya udah bagus pasti ngikut job portal;Malem yaaa, tapi kalo masih butuh lagi jam 3 walaupun ada kegiatan lagi di jam segitu;Belum pernah, karena belum tau. Disini juga Cuma berdua dalam 1 mentor;Job portal tidak perlu diganti face to face ajaa sama mentor kalo bisa. Adain mentor cadangan aja biar kalo kak bayu gabisa ada yang gantiin dan ga doble class;9/10 karena banyak temen yang nanya-nanya cv biar saya suruh langsung ke ahlinya aja
7;Pengalaman;dapet info broadcast dan kebetulan lagi cari kerjaan baru, liat benefitnya jadi ikutan dan chat admin;lagi mau cari kerja baru dan belum percaya diri sama kemampuan;sangat membantu karena ternyata ada banyak kesalahan di cv/interview . mentornya interaktif, tapi emang suka dadakan;materi simulasi interview seru banget sih;sebenernya gaada, karena dengan harga yg murah tuh worthit semuanya;sore atau malem biasanya free;belum pernah ikutan, tapi disini murah dan benefitnya banyak;adain simulasi dari awal naro cv gitu kayanya seru;rekomended si, bisa 8/10 kalo harganya masih sama
8;Instagram;selain kursus, saya juga harus upgrade skill di beberapa kursus jadi harus balance. Jadi saya langsung menghubungi admin untuk mendaftarkan diri;gaada alesan selain mempersiapkan diri untuk ke dunia kerja;memberi banyak pembelajaran, improve cv, portfolio, dan cara interview yg baik. Mentornya menjawab seluruh pertanyaan dan sangat ramah;interview sama cv sih, soalnya jadi upgrade;yg web portal sih, kan udah banyak sekarang di linkedin juga;ga nentu, kadang free seharian juga;aku pernah ikutnya course di platform lain, kalo sejenis ini belum pernah. Tapi eduwork worthit banget karna terjangkau;waktu mentoring yg lebih terjadwal;9/10 soalnya bagus buat persiapan karir
9;Instagram;saya mencari platform untuk upgrade skill saya;kebanyakan dapet cv ats jadi saya mau cari tau cara bikin portfolio yang baik, interview yg baik gimana, karna kebetulan saya udah pernah kerja;seperti kelas pada umumnya, kita sharing, tapi banyak dapet ilmu baru selama disini. Mentornya baik, ngajarnya terperinci;kelas interview dan portfolio  karna akhirnya tau yang baik tu gimana;gaada sih, semuanya bagus;saya free malem, tapi sore selalu menyempatkan untuk ikut kelas;belum pernah ikutan kalo platform gitu. Tapi setau saya yang lain harus bootcamp dan biayanya mahal;harusnya ada kelas untuk membahas detail body email, terus cara apply via dm linkedin, kaya gitu sih;7.5/10 sih, karena bener2 worthit
10;Whatsapp;saya liat info dan tertarik, prosesnya cepet karna abis wa admin langsung masuk grup abis itu ikut kelas;saya kan masih mahasiswa, pengen belajar banyak tentang karir dan mempersiapkan diri untuk itu;banyak ilmu yang didapat , jadi tau cv, portfolio, interview yang baik itu kaya apa. mentornya bagus, bener-bener ngajarin dari awal;saya suka semua materinya karena sebelumnya saya bener-bener gatau;semuanya bagus. Tapi kalo portfolio kan kebanyakan buat bidang tertentu ya;karna mahasiswa, jadi selalu freenya malem, tapi kadang sore atau siang udah free sih;belum pernah ikutan yang lain kalo program sejenis;jam mentoringnya lebih lama biar informasi yang digali bisa lebih banyak;9/10 soalnya temen-temen mahasiswa kaya saya butuh banget kelas kaya gini
